"","training_df.Exited","predicted"
"1",1,0.124048383659734
"2",0,0.159204957511491
"3",1,0.32605983365118
"4",0,0.22618871197514
"5",0,0.156311152353217
"6",1,0.246174513535326
"7",0,0.098719567842661
"8",1,0.293328082218866
"9",0,0.116341581826411
"10",0,0.0369331791265259
"11",0,0.123880705495449
"12",0,0.0605434441852412
"13",0,0.169996789611287
"14",0,0.0989081839432883
"15",0,0.0660853848063123
"16",0,0.219463880109652
"17",1,0.700780192673166
"18",0,0.0316344663568864
"19",0,0.226261926986584
"20",0,0.0295070047577918
"21",0,0.0562226982203682
"22",0,0.140979229896683
"23",1,0.244589294879844
"24",0,0.0882346774943413
"25",0,0.0797248663092922
"26",0,0.021901600662141
"27",0,0.129248075800382
"28",0,0.192467765825723
"29",0,0.317693251921566
"30",0,0.046570462416052
"31",1,0.216895454200868
"32",0,0.0692493047070121
"33",0,0.36719785574722
"34",0,0.114420346034103
"35",0,0.0401236285738143
"36",1,0.455618302816529
"37",0,0.0545231836346679
"38",0,0.0473184075718118
"39",0,0.0409897319553007
"40",0,0.167228570538673
"41",0,0.184907257520486
"42",1,0.533675843134256
"43",0,0.454691712019602
"44",1,0.459573971729424
"45",0,0.42774648488984
"46",0,0.139614506278088
"47",1,0.0996424631279195
"48",1,0.232623368904138
"49",0,0.163599234358439
"50",0,0.413557978900003
"51",0,0.392129113332465
"52",0,0.297936332766392
"53",0,0.143137967825467
"54",1,0.377950012049036
"55",1,0.429158472749789
"56",0,0.114969538528386
"57",0,0.287465227622823
"58",0,0.115886703254926
"59",1,0.712177845715106
"60",0,0.176873336717625
"61",0,0.28035877897226
"62",0,0.246863824275486
"63",0,0.14583680197826
"64",0,0.220049639558394
"65",0,0.0711309492472084
"66",0,0.178054630957846
"67",0,0.419368333978735
"68",0,0.166579487875077
"69",0,0.178110876964945
"70",0,0.100376693966271
"71",1,0.620806069047864
"72",0,0.0727941248199194
"73",0,0.12434506126934
"74",0,0.0983307647492954
"75",0,0.0449601124283439
"76",0,0.0997948249868752
"77",0,0.147102679022378
"78",0,0.0556108439789854
"79",0,0.0502766576999085
"80",0,0.515535449239391
"81",0,0.226850809882791
"82",1,0.15289898877262
"83",0,0.201909490306813
"84",0,0.104396428488056
"85",0,0.347513274975473
"86",0,0.549500798365931
"87",1,0.0683728074720896
"88",0,0.0719006429566773
"89",1,0.304012635910863
"90",0,0.118483879474569
"91",1,0.112455392765071
"92",0,0.242442949018954
"93",0,0.18652748624392
"94",0,0.0237207122524861
"95",0,0.0639810595003101
"96",0,0.0638841868826346
"97",0,0.0814257507233164
"98",0,0.065624546956924
"99",0,0.0426806120143742
"100",0,0.113651270902903
"101",0,0.100244633807589
"102",0,0.290122588514411
"103",0,0.113364591345348
"104",0,0.124061644270022
"105",1,0.425041133369346
"106",1,0.190673275405968
"107",0,0.111268508853991
"108",0,0.196245389127968
"109",0,0.149266695908017
"110",1,0.30146229015586
"111",0,0.0891632764105217
"112",0,0.343383701769993
"113",0,0.26465466072802
"114",0,0.0618437965125897
"115",1,0.0649017281249228
"116",0,0.12590986212521
"117",0,0.442636647806271
"118",0,0.278000982484328
"119",1,0.351090994274383
"120",0,0.257998953786567
"121",0,0.122894551162568
"122",0,0.202048778027601
"123",0,0.217493292156851
"124",0,0.356666661386531
"125",0,0.128312534804669
"126",1,0.262554031109207
"127",1,0.237765536838251
"128",1,0.677843027422186
"129",0,0.219774582104123
"130",0,0.0703870335685975
"131",0,0.0606205994048449
"132",0,0.149608601632252
"133",0,0.0705814006967461
"134",0,0.0210237871789931
"135",0,0.131347930927652
"136",0,0.403244105393901
"137",0,0.198181764278103
"138",0,0.0923700875635696
"139",1,0.487129368756892
"140",1,0.103169680972769
"141",0,0.406729819037341
"142",0,0.0367310555848585
"143",0,0.16518921656643
"144",1,0.310783045447489
"145",1,0.189086832353876
"146",0,0.0435731559327128
"147",0,0.158474913376792
"148",0,0.183881604536493
"149",0,0.249937489706756
"150",0,0.0417193892514829
"151",0,0.133433495222118
"152",1,0.378152384027962
"153",0,0.159582082750268
"154",0,0.203845598935952
"155",0,0.115357675683986
"156",1,0.388441536728281
"157",0,0.141731799866304
"158",0,0.0454529670660155
"159",0,0.636505179942925
"160",0,0.383759265157242
"161",0,0.0394699610381475
"162",0,0.0819358156867431
"163",0,0.444138289324125
"164",0,0.0721297382907445
"165",1,0.118397377402005
"166",0,0.0820399973041153
"167",1,0.226704651687963
"168",0,0.329101018535761
"169",1,0.227190847454422
"170",0,0.131735062757625
"171",0,0.196075279647828
"172",0,0.174697810732414
"173",1,0.451899439520664
"174",0,0.127795771408446
"175",0,0.0631436944399601
"176",0,0.109326677209917
"177",0,0.0564549691328396
"178",0,0.296638925906371
"179",0,0.137684837463951
"180",1,0.743794067971794
"181",0,0.176331959150693
"182",0,0.303274285536494
"183",0,0.564605371861735
"184",0,0.0699242806399893
"185",1,0.177992615444028
"186",0,0.0952142795391167
"187",0,0.307671898091513
"188",0,0.0977288068193132
"189",0,0.0294876292196896
"190",0,0.357909413443568
"191",1,0.293439974057868
"192",0,0.266303242481558
"193",0,0.177182501575356
"194",0,0.133275623710344
"195",0,0.0998140091683923
"196",0,0.0589210752179295
"197",0,0.0553205630360404
"198",0,0.137715572664399
"199",0,0.177416019036603
"200",0,0.172571724499179
"201",0,0.040946716905978
"202",0,0.0944145757133678
"203",1,0.132590438389432
"204",1,0.114093150476977
"205",0,0.16233492847679
"206",0,0.0565750359452582
"207",1,0.350218339150479
"208",0,0.0597798545358811
"209",1,0.222448624278281
"210",0,0.12438946945522
"211",0,0.250755754721678
"212",0,0.0304701943203032
"213",0,0.238964235356475
"214",0,0.0973394805883317
"215",0,0.172878463615087
"216",1,0.243085908596293
"217",0,0.284633846837105
"218",0,0.140174427177043
"219",1,0.232879323366183
"220",1,0.156229664546886
"221",0,0.0639851794438077
"222",0,0.0335123227962145
"223",0,0.0730139984570431
"224",1,0.0876712325074563
"225",1,0.21935848297978
"226",0,0.172370526490329
"227",0,0.0438019043804117
"228",1,0.215239247484757
"229",1,0.544470337805574
"230",0,0.32704004295787
"231",0,0.397164673754364
"232",0,0.166854997787602
"233",0,0.0890861570322183
"234",0,0.0394516211509467
"235",0,0.522754006014272
